# ADC dogrusallik supurmesi — 2026-09-13, kartta olculdu
# Kaynak: CAL (GPIO10) PWM 20 kHz, 10 bit gorev + 2 kademe RC (10K/100nF x2)
# GPIO4: skop yakalamasi (tb3, 833 ornek) VE wR (300 ornek); GPIO5: wR (300 ornek)
# kalibre_mv: Espressif eFuse egri semasi (adc_cali_raw_to_voltage)
# Uretici: uretim/tezgah_adc_supur.py
gorev_promil,gpio4_skop_ort,gpio4_skop_std,gpio4_skop_n,gpio4_wr_ort,gpio4_wr_min,gpio4_wr_max,gpio4_kalibre_mv,gpio5_wr_ort,gpio5_wr_min,gpio5_wr_max,gpio5_kalibre_mv,gpio5_durum,gpio5_wr_yayilim,cekme_v_yuzde,cekme_i_yuzde
600,2310.42,2.21,833,2302.17,2293,2312,1959,2301.94,2295,2313,1952,surulu,18,64,64
610,2347.07,1.60,833,2344.75,2341,2349,1989,2344.11,2339,2349,1987,surulu,10,64,64
620,2388.60,1.86,833,2380.78,2303,2393,2024,2379.59,2280,2393,2017,surulu,113,64,64
630,2424.43,1.57,833,2420.19,2413,2427,2054,2419.92,2413,2426,2049,surulu,13,64,64
640,2467.80,2.64,833,2462.70,2457,2477,2089,2462.11,2453,2471,2085,surulu,18,64,64
650,2504.51,2.43,833,2495.68,2487,2505,2120,2495.39,2487,2507,2113,surulu,20,65,65
660,2542.62,2.50,833,2538.25,2531,2549,2151,2537.60,2527,2543,2147,surulu,16,65,65
670,2588.05,1.75,833,2583.05,2575,2589,2188,2582.84,2571,2595,2184,surulu,24,65,65
680,2629.67,2.35,833,2623.12,2611,2631,2222,2622.61,2614,2632,2217,surulu,18,66,65
690,2666.90,1.70,833,2667.02,2662,2675,2252,2666.90,2661,2675,2252,surulu,14,66,66
700,2707.79,2.14,833,2707.35,2700,2716,2284,2707.24,2698,2715,2284,surulu,17,66,66
710,2745.83,1.75,833,2741.59,2734,2749,2316,2741.25,2731,2751,2311,surulu,20,66,66
720,2791.63,1.84,833,2788.27,2781,2795,2352,2787.88,2778,2793,2349,surulu,15,66,66
730,2833.42,2.62,833,2826.68,2815,2853,2384,2826.25,2813,2836,2379,surulu,23,67,67
740,2871.98,2.29,833,2866.64,2857,2885,2414,2866.11,2855,2877,2409,surulu,22,67,67
750,2913.70,3.14,833,2908.96,2899,2919,2448,2909.49,2902,2925,2443,surulu,23,67,67
760,2955.56,3.04,833,2950.21,2937,2963,2479,2950.64,2936,2989,2475,surulu,53,67,67
770,2996.56,2.65,833,2998.28,2991,3005,2512,2998.24,2987,3005,2512,surulu,18,68,68
780,3045.44,1.98,833,3043.55,3033,3049,2546,3043.23,3033,3053,2545,surulu,20,68,68
790,3096.89,1.86,833,3093.01,3081,3106,2585,3092.98,3081,3110,2582,surulu,29,68,68
800,3142.30,2.75,833,3133.75,3119,3143,2619,3133.73,3126,3143,2612,surulu,17,68,68
810,3192.52,5.13,833,3186.03,3179,3194,2656,3185.54,3179,3193,2651,surulu,14,69,69
820,3240.06,2.38,833,3232.46,3225,3239,2689,3231.81,3223,3238,2683,surulu,15,69,69
830,3287.87,2.47,833,3280.80,3260,3290,2722,3280.50,3270,3301,2717,surulu,31,69,69
840,3338.37,3.28,833,3325.58,3313,3339,2757,3325.76,3317,3340,2748,surulu,23,69,69
850,3390.91,4.34,833,3387.30,3375,3403,2793,3386.92,3375,3406,2789,surulu,31,70,70
860,3449.46,2.53,833,3440.97,3431,3464,2831,3440.68,3431,3461,2825,surulu,30,70,70
870,3496.07,4.72,833,3498.51,3478,3508,2859,3498.32,3488,3509,2861,surulu,21,70,70
880,3557.04,3.15,833,3549.97,3543,3564,2897,3548.91,3539,3560,2891,surulu,21,70,70
890,3617.80,5.38,833,3611.98,3597,3625,2934,3611.86,3599,3635,2930,surulu,36,71,71
900,3678.46,3.23,833,3672.59,3661,3685,2969,3672.66,3657,3687,2965,surulu,30,71,71
910,3743.79,5.82,833,3737.05,3726,3750,3004,3736.57,3725,3748,3000,surulu,23,70,70
920,3807.38,3.76,833,3798.21,3786,3805,3036,3798.06,3785,3815,3032,surulu,30,70,70
930,3869.71,3.35,833,3860.87,3813,3871,3067,3859.56,3795,3877,3064,surulu,82,70,70
940,3940.70,3.87,833,3932.81,3918,3951,3099,3932.39,3915,3955,3095,surulu,40,69,69
950,4007.76,5.10,833,4006.19,3987,4041,3128,4004.73,3991,4023,3126,surulu,32,69,69
960,4078.05,3.99,833,4073.46,4062,4091,3154,4072.51,4059,4088,3153,surulu,29,68,68
970,4095.00,0.00,833,4095.00,4095,4095,3160,4095.00,4095,4095,3160,surulu,0,68,68
980,4095.00,0.00,833,4095.00,4095,4095,3160,4095.00,4095,4095,3160,surulu,0,67,67
990,4095.00,0.00,833,4095.00,4095,4095,3160,4095.00,4095,4095,3160,surulu,0,67,67
1000,4095.00,0.00,833,4095.00,4095,4095,3160,4095.00,4095,4095,3160,surulu,0,66,66
